name,lower,upper,plus
For East Movement,20.0,40.0,0
Foreigner,40.0,50.0,1
Forever the Sickest ID,10.0,15.0,0
Foster The People,150.0,250.0,1
Fountains of Wayne,20.0,30.0,0
Four Year Strong,10.0,10.0,1
Frank Ocean,100.0,150.0,1
Freelance Whales,15.0,15.0,0
French Montana,30.0,50.0,0
Fuel,10.0,15.0,0
Fun.,200.0,400.0,0
Future,40.0,60.0,0
G-Eazy,5.0,7.0,0
G. Love,50.0,50.0,1
Galactic,20.0,30.0,1
Gary Allan,50.0,75.0,1
Gaslight Anthem,20.0,30.0,1
Gavin DeGraw,50.0,75.0,1
George Clinton,20.0,25.0,0
Ghostface,20.0,25.0,0
Gin Blossoms,20.0,30.0,0
Girl Talk,35.0,50.0,0
Glen Phillips,5.0,10.0,0
Gloriana,20.0,25.0,0
Godamack,85.0,125.0,0
Gogol Bordello,50.0,50.0,1
Goldfinger,20.0,30.0,0
Gomez,20.0,30.0,0
Goo Goo Dolls,75.0,100.0,1
Gotye,75.0,100.0,1
Grace Potter & Noctu,25.0,40.0,1
Graham Colton,3.5,5.0,0
Green Day,500.0,500.0,1
Green River Ordinanc,7.5,10.0,0
Gretchen Wilson,60.0,85.0,0
Griffin House,3.0,5.0,0
Grizzly Bear,50.0,75.0,0
GroupLove,50.0,75.0,1
Gucci Mane,20.0,30.0,0
Guster,25.0,30.0,1
Gym Class Heroes,75.0,75.0,1
Gypsy Kings,75.0,100.0,1
Hal Ketchum,10.0,20.0,0
Hank Williams Jr.,100.0,100.0,1
Hanson,25.0,30.0,0
Hellogoodbye,12.5,17.5,0
Hitrecord-JosGorLevi,30.0,40.0,0
Holy Ghost!,10.0,20.0,0
Hoobastank,20.0,30.0,0
Hot Chelle Rae,50.0,75.0,1
Howie Day,10.0,20.0,0
Hunter Hayes,150.0,200.0,1
Ice Cube,30.0,30.0,1
Imagine Dragons,400.0,600.0,0
Incubus,80.0,120.0,1
India.Arie,50.0,75.0,0
Indigo Girls,15.0,20.0,0
Ingram Hill,4.0,10.0,0
Ingrid Michaelson,35.0,50.0,1
It Boys,7.0,10.0,0
J. Cole,150.0,150.0,1
J. Holiday,25.0,30.0,0
JET,25.0,35.0,0
Ja Rule,40.0,50.0,0
Jack Ingram,25.0,30.0,0
Jack's Mannequin,40.0,60.0,0
Jadakiss,20.0,30.0,1
Jake Miller,10.0,15.0,0
Jake Owen,150.0,250.0,0
Jakob Dylan,25.0,40.0,1
James Bay,5.0,15.0,0
James Blunt,85.0,125.0,0
James Otto,10.0,20.0,0
James Taylor,1000.0,1000.0,1
Janelle Monae,40.0,75.0,1
Janes Addiction,100.0,100.0,0
Jason Adamo Band,1.0,2.0,0
Jason Aldean,500.0,500.0,1
Jason Derulo,75.0,75.0,1
Jason Michael Carroll,20.0,30.0,0
Jason Mraz,150.0,250.0,1
Jay Sean,40.0,60.0,0
Jeff The Brotherhood,7.5,15.0,0
Jefferson Starship,15.0,25.0,0
Jeffrey Gaines,3.0,5.0,0
Jennifer Hudson,200.0,400.0,1
Jeremih,12.5,17.5,0
Jessica Simpson,150.0,150.0,1
Jewel,75.0,100.0,0
Jhcne Aiko,25.0,40.0,1
Jill Scott,80.0,125.0,0
Jill Sobule,5.0,5.0,1
Jimmie's Chicken Sha,3.0,7.0,0
Jo Dee Messina,35.0,45.0,0
Joan Jett,40.0,60.0,1
Joel Levi,2.0,5.0,0
John Anderson,20.0,20.0,0
John Legend,150.0,200.0,0
John Mayer,500.0,500.0,1
John Michael Montgo,35.0,50.0,1
John Newman,30.0,50.0,1
John Popper Project,20.0,20.0,1
John Secada,40.0,60.0,1
Jon McLaughlin,10.0,15.0,1
Jonathan Davis of Ka,10.0,20.0,0
Josh Gracin,10.0,20.0,0
Josh Groben,350.0,500.0,1
Josh Hogue,2.5,5.0,0
Josh Kelley,8.5,15.0,0
Josh Thompson,15.0,25.0,0
Josh Turner,60.0,90.0,0
Joshua Radin,10.0,15.0,0
Juanes,200.0,200.0,1
Juicy J,40.0,60.0,1
Julian Marley,30.0,30.0,0
Junior Doctor,10.0,20.0,1
Jurassic 5,40.0,50.0,0
Justin Bieber,1000.0,1000.0,1
Justin Moore,40.0,60.0,1
Justin Nozuka,10.0,20.0,0
Justin Timberlake,1000.0,1000.0,1
K'Naan,25.0,35.0,0
KC&Sunshine Band,50.0,75.0,0
Kaiser Chiefs,25.0,35.0,0
Kaki King,5.0,5.0,1
Kaki King,10.0,10.0,1
Kanye West,400.0,600.0,1
Karmin,40.0,50.0,1
Kaskade,100.0,100.0,1
Kat Deluna,8.0,10.0,0
Kate Voegele,10.0,10.0,1
Katherine McPhee,100.0,100.0,0
Katy Perry,500.0,500.0,1
Ke$ha,150.0,200.0,0
Keith Anderson,20.0,25.0,0
Keith Urban,400.0,600.0,1
Kelis,30.0,30.0,1
Kelleigh Bannen,5.0,7.5,0
Kellie Pickler,60.0,80.0,0
Kelly Bell Band,2.5,5.0,0
Kelly Clarkson,150.0,300.0,0
Kelly Rowland,50.0,100.0,0
Kendrick Lamar,150.0,150.0,1
Kenny Rogers,50.0,80.0,0
Kenny Wayne Shephe,35.0,35.0,0
Kentucky Headhunter,20.0,20.0,0
Keri Hilson,50.0,75.0,1
Kevin Rudolf,20.0,25.0,0
Keyshia Cole,85.0,100.0,0
Kid Cudi,150.0,150.0,1
Kid INK,20.0,40.0,1
Kid Ink,40.0,75.0,0
Kid Rock,200.0,300.0,1
Kill Hannah,5.0,7.0,0
Kina Grannis,5.0,10.0,0
King Chip The Ripper,10.0,20.0,0
Kings X,5.0,7.5,0
Kings of Leon,400.0,500.0,1
Kip Moore,100.0,150.0,0
Kitty Pryde,5.0,5.0,0
Kom,85.0,125.0,0
Kongos,20.0,40.0,0
Kopecky Family Baru,10.0,15.0,0
Kreayshawn,10.0,25.0,0
Krewella,50.0,75.0,0
Kris Allen,10.0,20.0,0
LA Riots,5.0,5.0,0
LIT,10.0,20.0,0
LL Cool J,100.0,150.0,1
LMFAO,250.0,250.0,1
LP,7.5,7.5,0
La Roux,25.0,40.0,0
Lady Antebellum,250.0,400.0,1
Lady Gaga,750.0,750.0,1
Lana Del Ray,75.0,75.0,1
Larry Gatlin,25.0,30.0,0
Le Cashe Vania,10.0,20.0,0
Leann Rimes,50.0,75.0,0
Lee Ann Womack,50.0,80.0,0
Lee Brice,40.0,60.0,1
Lee DeWyze,10.0,15.0,0
Less Than Jake,15.0,20.0,0
Lifehouse,85.0,100.0,1
Lights,10.0,15.0,0
Lil' Wayne,350.0,500.0,1
Linkin Park,400.0,500.0,1
